brand;model;year;mileage
Kia;Rio;2020;289944
Chevrolet;Malibu;2012;5356
Mercedes;GLA;2020;231440
Audi;Q5;2023;160971
Volkswagen;Golf;2003;286618
Toyota;Camry;2007;157889
Honda;Civic;2010;139584
Kia;Sportage;2001;157495
Kia;Sportage;2014;98700
Toyota;RAV4;2005;107724
BMW;5 Series;2013;296824
Volkswagen;Golf;2009;42795
Honda;CR-V;2007;132875
Hyundai;Elantra;2004;188996
Volkswagen;Golf;2003;145921
Volkswagen;Golf;2007;60103
Hyundai;Elantra;2017;38133
Volkswagen;Tiguan;2006;41161
Kia;Rio;2000;257427
Mercedes;GLA;2021;34640
Chevrolet;Equinox;2018;21261
Toyota;RAV4;2000;41814
Toyota;RAV4;2003;136662
Ford;Explorer;2006;99921
Mercedes;GLA;2016;19868
Kia;Sportage;2011;92188
Audi;A3;2022;79350
BMW;3 Series;2017;142701
BMW;3 Series;2020;210767
Chevrolet;Equinox;2013;121816
Hyundai;Tucson;2007;213643
Volkswagen;Passat;2008;88381
Chevrolet;Impala;2017;183619
Mercedes;GLA;2013;80184
Toyota;Corolla;2010;132454
Kia;Optima;2005;18590
Audi;Q5;2013;263411
Kia;Sportage;2000;167050
Ford;Fiesta;2017;277363
Audi;A4;2004;94415
Ford;Focus;2004;93645
BMW;5 Series;2007;120491
Honda;Civic;2000;56020
Toyota;RAV4;2003;131868
Audi;Q5;2023;238306
Ford;Focus;2011;255372
Audi;A4;2009;263797
Hyundai;Elantra;2006;110280
Audi;A3;2009;111448
Mercedes;GLA;2013;205005
Mercedes;E-Class;2004;175273
Mercedes;GLA;2022;191466
Ford;Focus;2008;280713
Honda;Civic;2015;66777
Kia;Optima;2020;88070
BMW;3 Series;2011;281020
Chevrolet;Impala;2017;22175
Volkswagen;Passat;2003;287728
Hyundai;Sonata;2007;102907
Honda;Civic;2005;60316
Toyota;Camry;2008;188097
Ford;Fiesta;2004;85348
Ford;Focus;2015;100603
Mercedes;C-Class;2007;147310
Mercedes;GLA;2011;140263
Volkswagen;Passat;2005;155550
Volkswagen;Golf;2000;237232
Ford;Fiesta;2002;272351
Kia;Optima;2008;164879
Hyundai;Tucson;2018;160349
Hyundai;Elantra;2007;30793
BMW;3 Series;2019;6745
Toyota;Camry;2007;23217
Kia;Sportage;2017;242456
Hyundai;Sonata;2017;152123
Honda;CR-V;2022;248894
Mercedes;GLA;2007;76458
BMW;X5;2017;2020
Hyundai;Sonata;2018;121567
Volkswagen;Golf;2023;139477
Ford;Fiesta;2007;53088
Volkswagen;Tiguan;2020;195565
Audi;A4;2004;141850
Honda;Civic;2020;191397
Hyundai;Tucson;2015;259533
Mercedes;C-Class;2015;197249
Volkswagen;Passat;2007;272609
Ford;Focus;2013;294516
Kia;Sportage;2001;258813
Toyota;Corolla;2014;17100
Kia;Optima;2017;197307
BMW;X5;2007;129851
Mercedes;E-Class;2011;261247
Audi;Q5;2016;121855
BMW;3 Series;2011;107928
Volkswagen;Passat;2011;203960
BMW;5 Series;2009;17260
Audi;A3;2022;275109
Toyota;Corolla;2016;203314
Toyota;Corolla;2014;190214
Ford;Explorer;2013;188195
Audi;A4;2010;228204
BMW;5 Series;2001;66264
Toyota;Camry;2022;162696
Chevrolet;Malibu;2005;191462
Honda;Accord;2001;8958
Hyundai;Elantra;2012;11213
Honda;Accord;2003;236022
Chevrolet;Equinox;2019;13333
Mercedes;C-Class;2023;274137
Volkswagen;Passat;2010;8662
BMW;3 Series;2018;99243
Ford;Fiesta;2013;167809
Honda;CR-V;2018;180938
Mercedes;C-Class;2018;66347
Honda;Civic;2007;279031
Chevrolet;Equinox;2013;63430
BMW;3 Series;2014;191744
Mercedes;E-Class;2023;58107
BMW;X5;2002;86763
Volkswagen;Golf;2020;257521
Toyota;Corolla;2013;213052
BMW;3 Series;2017;117943
Volkswagen;Tiguan;2008;178837
Toyota;Corolla;2002;281616
Chevrolet;Malibu;2013;131485
Audi;A4;2013;21399
Mercedes;C-Class;2020;148489
Chevrolet;Equinox;2017;189399
Volkswagen;Tiguan;2008;179107
Volkswagen;Passat;2015;220366
Kia;Optima;2020;132200
Chevrolet;Impala;2009;151249
Chevrolet;Impala;2009;184695
Volkswagen;Golf;2001;32602
Audi;A3;2013;253611
Toyota;RAV4;2020;187223
Mercedes;E-Class;2004;232438
Toyota;Camry;2019;114139
Toyota;RAV4;2004;79437
Honda;Accord;2019;127801
Toyota;Camry;2002;23115
Kia;Optima;2010;26930
Toyota;RAV4;2021;289967
Ford;Focus;2001;42064
Hyundai;Sonata;2018;233614
Ford;Explorer;2023;67072
BMW;X5;2017;256380
Mercedes;C-Class;2010;159546
Mercedes;E-Class;2014;5877
Hyundai;Tucson;2002;33244
Chevrolet;Impala;2013;206381
Honda;Civic;2016;175833
Hyundai;Tucson;2005;157073
BMW;3 Series;2015;131766
Ford;Explorer;2001;18630
Audi;A4;2015;54522
Mercedes;GLA;2013;231290
Kia;Optima;2000;166776
Audi;A3;2002;16302
Audi;Q5;2015;252824
Kia;Sportage;2007;269614
Kia;Sportage;2000;264697
Honda;CR-V;2014;287926
Audi;A3;2001;43196
Toyota;RAV4;2001;279971
Hyundai;Sonata;2009;286745
Mercedes;C-Class;2011;885
Honda;Civic;2013;93273
BMW;X5;2004;110947
Honda;CR-V;2018;166808
Audi;Q5;2022;186035
Ford;Fiesta;2005;68819
Chevrolet;Impala;2018;157181
Mercedes;C-Class;2007;97350
Volkswagen;Passat;2016;271497
Toyota;RAV4;2013;225452
Kia;Optima;2010;51040
Volkswagen;Golf;2012;7544
Chevrolet;Equinox;2009;264411
BMW;X5;2012;153919
Honda;CR-V;2010;115344
Kia;Rio;2009;106781
Hyundai;Sonata;2011;279545
Hyundai;Sonata;2020;11757
Audi;Q5;2014;230787
Hyundai;Elantra;2020;216478
Mercedes;C-Class;2003;134567
Mercedes;C-Class;2006;162852
BMW;3 Series;2023;112480
Kia;Optima;2017;60780
Honda;CR-V;2012;21520
BMW;5 Series;2017;199006
Chevrolet;Equinox;2006;11585
Chevrolet;Equinox;2009;79962
Volkswagen;Golf;2014;95537
Mercedes;GLA;2021;229873
Toyota;RAV4;2006;195129
Chevrolet;Impala;2011;136926
Ford;Focus;2003;85005
Audi;A4;2017;172248
Volkswagen;Golf;2017;179528
Hyundai;Sonata;2014;1752
Mercedes;GLA;2008;25557
BMW;5 Series;2007;211162
Audi;A3;2014;182364
Hyundai;Sonata;2010;112946
Ford;Focus;2009;122067
Toyota;RAV4;2008;296747
BMW;5 Series;2018;23722
Hyundai;Elantra;2000;161487
Ford;Focus;2009;99562
Kia;Optima;2018;107386
Volkswagen;Golf;2021;32991
Audi;A3;2017;156940
Toyota;Camry;2007;87444
BMW;5 Series;2009;232049
Ford;Focus;2009;114668
Toyota;Camry;2017;297176
Hyundai;Sonata;2011;138965
Volkswagen;Tiguan;2006;251894
Toyota;Corolla;2006;174551
BMW;5 Series;2011;260151
Chevrolet;Malibu;2006;253372
Mercedes;GLA;2010;99563
Ford;Fiesta;2014;267949
BMW;X5;2010;79663
Toyota;RAV4;2013;85640
Mercedes;E-Class;2001;1937
Ford;Fiesta;2014;253316
Mercedes;E-Class;2007;203452
Hyundai;Elantra;2022;181600
BMW;X5;2002;296864
Kia;Sportage;2014;262641
Audi;Q5;2023;222000
Ford;Focus;2006;98002
Kia;Sportage;2000;131933
BMW;X5;2001;287045
Chevrolet;Malibu;2008;215987
Honda;CR-V;2009;201403
BMW;3 Series;2021;263073
Audi;A3;2021;91956
